pnum,dob,caption,ethnicity,weight,height,is_veg,drink
9,21/12/63,I May Be Spoken 4 But I Speak 4 Myself.,1,65772,173,1,1
10,12/09/77,I'm having trouble with my computer..send a message!,1,47628,163,1,1
11,18/05/78,I love to make new friends,1,38556,152,1,1
12,11/01/76,can you handle it?,1,45360,157,1,1
13,05/04/67,Not sure what I want yet,1,54432,168,1,1
15,27/06/71,Can You Read My Mind?,1,58968,173,1,1
16,11/11/70,"looking good,feeling great.....now let's communicate",1,90720,183,1,1
17,14/02/78,Looking for prince charming,1,49896,173,1,0
18,25/03/78,I love to make new friends,1,43092,163,1,1
19,24/08/76,Are you man enough for my appetite,2,49896,165,1,1
20,07/03/66,Let's start as friends..,1,58968,163,0,1
21,26/12/70,Be Gentle! I'm new at this.,4,65772,165,1,1
22,13/07/76,Let's Have Coffee and....?,1,54432,163,1,1
23,18/03/61,Discretion a must!,8,52164,163,1,1
24,05/03/69,Let's meet in Vegas!,1,81648,188,1,1
26,03/06/69,Hi Guys!,2,56700,178,1,1
27,19/02/72,No Disrespect please - just honesty,3,43092,157,0,1
28,15/10/69,Any One For Phone Chat?,7,47628,152,1,1
29,05/11/65,Catch My Interest If U Can...,1,49896,165,1,1
30,06/05/60,No Games Please.,1,61236,173,1,1
31,10/09/72,I'd love to meet a caucasion man for...,6,54432,165,1,1
32,09/09/69,I need to be satisfied,1,52164,163,1,1
33,13/03/57,I am looking for you,1,54432,168,1,0
36,23/03/68,"Dinner for two, and then...",1,79380,178,1,1
37,04/12/61,mature and fun looking for younger!!,1,77112,173,0,1
38,25/04/52,swimy ladies please step foward,1,83916,178,1,1
39,10/07/76,Any Suggestions to get my interest?,1,58968,173,1,1
40,08/08/69,This is very exciting,4,47628,152,1,1
41,11/04/62,"\Looking for some fun!\""""",1,56700,173,1,0
42,06/03/57,Searching?,1,74844,178,1,1
43,10/02/68,Looking for realistic men,1,58968,165,1,1
44,26/09/73,Looking for erotic swim & Romance,1,68040,165,1,0
45,20/07/75,Thick Chocolate Tai.....,2,81648,165,1,0
46,09/05/57,Hot Blonde's Lust is insatiable,1,63504,173,0,0
47,29/04/68,Lolita for Mature Teddy Bears,9,70308,157,0,0
48,14/02/75,Adding Some Spice,1,54432,173,0,0
49,26/08/81,can you take me to a hotspot?,1,45360,168,1,1
50,29/01/71,I dare you.,1,56700,168,0,1
51,06/11/77,Cum Join me for some fun....,2,72576,168,1,0
53,15/01/70,No hold bared,8,77112,178,1,1
54,30/05/51,Easygoing&Openminded,1,97524,193,1,0
55,06/09/61,Hello,1,63504,168,1,1
56,06/12/70,"Hello there,",1,74844,178,1,1
57,01/11/71,I'm up to no good,1,79380,173,1,0
